mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.11883549690246582,0.01470931345557131,0.07293474674224854,0.008345338699859893,1,{'n_neighbors': 1},-3209806347.436602,-2784785979.964189,-2722065289.153862,-3153163966.289923,-2758363267.257235,-3091650757.556423,-3117061072.067562,-2866640393.1442847,-2800019754.908807,-2970078438.987194,-2947363526.676608,173925371.41370943,1
0.1227799654006958,0.028463907438940225,0.0857917308807373,0.01800957784232789,2,{'n_neighbors': 2},-3728139097.200422,-3322915892.059442,-3294525379.357849,-3848181217.0673018,-3394500465.086196,-3675030685.7523685,-3623601190.9420934,-3331498175.9441233,-3517321238.4246564,-3587782435.402967,-3532349577.723742,181613063.96134073,2
0.12438752651214599,0.02582673148732894,0.10061056613922119,0.025554259027575563,3,{'n_neighbors': 3},-4437786848.872002,-4210349569.876755,-4265367818.309228,-4748508486.120527,-4252947033.1739073,-4581084011.766014,-4617742134.360955,-4225130879.2696695,-4396589295.016054,-4518542674.425184,-4425404875.11903,178043782.0984959,3
0.09232594966888427,0.020013514433431263,0.09224059581756591,0.02101844065491143,4,{'n_neighbors': 4},-5400932887.613022,-5190028251.122716,-5371317180.923733,-5681670291.496467,-5242227990.543729,-5518446273.797568,-5499611887.795609,-5165589805.305545,-5340243991.646764,-5483967096.803084,-5389403565.704824,154123478.68549314,4
0.09683058261871338,0.03080543068613941,0.10601119995117188,0.031871549064504436,5,{'n_neighbors': 5},-6476330474.3185005,-6138351342.0741825,-6516263881.666892,-6598184035.674242,-6124656719.571768,-6482401478.102823,-6500136935.2100315,-6130786336.127957,-6327938209.189794,-6450109205.023595,-6374515861.695979,171288444.74497226,5
0.08199117183685303,0.016602643422658128,0.10352549552917481,0.017690083422783925,6,{'n_neighbors': 6},-7523412266.860511,-7119358189.628459,-7611977026.1846075,-7524445485.153036,-7006667558.091759,-7438908091.164941,-7402277988.529827,-7073089226.479588,-7204418309.007528,-7355942066.056475,-7326049620.715673,200753121.43731532,6
0.09254252910614014,0.025691377362734316,0.12863631248474122,0.03282810233421499,7,{'n_neighbors': 7},-8517118324.004763,-8062481312.636287,-8613187071.302727,-8447842140.423274,-7926626079.443198,-8372603881.361107,-8325045948.663479,-7938628076.185854,-8062169540.376324,-8279007311.574686,-8254470968.597171,231445544.79948634,7
0.09935567378997803,0.016928851258824023,0.1443314552307129,0.02175679083900898,8,{'n_neighbors': 8},-9483524421.892355,-8899697193.927225,-9531294883.525423,-9297746988.566526,-8815321556.82834,-9210241286.090113,-9189289440.57634,-8860993473.858238,-8894001182.480978,-9177557197.277914,-9135966762.502344,246198614.30822486,8
0.11420040130615235,0.008828208208535722,0.16660966873168945,0.00612953121706116,9,{'n_neighbors': 9},-10356617263.90896,-9712554899.123714,-10356501720.769909,-10113800039.16073,-9700888350.287401,-9964353863.577284,-10062689478.5725,-9682094882.78438,-9709188791.75918,-10077716098.644463,-9973640538.858852,250846423.92952186,9
0.11577534675598145,0.013624319209933214,0.18371200561523438,0.016039545895800655,10,{'n_neighbors': 10},-11146382889.894707,-10493587491.60032,-11161973340.519094,-10859312264.564915,-10517029069.092596,-10660156517.98055,-10875941937.200346,-10490318762.36032,-10509197931.196833,-10856108409.066204,-10757000861.34759,248784144.83309117,10
0.11591212749481201,0.006492067659611231,0.18946828842163085,0.01721493587267708,11,{'n_neighbors': 11},-11862302667.368475,-11218742898.919474,-11915220349.141285,-11612349339.906902,-11297068672.057787,-11387838035.410753,-11672643288.596973,-11252788676.03214,-11243174758.144997,-11603417326.172829,-11506554601.175161,248254785.7356336,11
0.09282758235931396,0.01117615971024212,0.1733102321624756,0.013900369114829109,12,{'n_neighbors': 12},-12531912936.800983,-11873840457.629015,-12583547344.543863,-12285756154.717075,-12016772308.722416,-12052720428.343145,-12470202869.354088,-11938430346.727297,-11961133406.861423,-12393556230.345966,-12210787248.404528,257110575.0090217,12
0.07815244197845458,0.005530696488896373,0.16133973598480225,0.01730731879214701,13,{'n_neighbors': 13},-13236689738.267801,-12553957632.271856,-13241042986.080578,-12912197953.58417,-12690892542.431332,-12710163468.099125,-13180855543.357979,-12604191938.936056,-12631680875.995785,-13109292723.84338,-12887096540.286808,266428995.27996373,13
0.09399094581604003,0.0244544217043292,0.21646502017974853,0.055664580218427934,14,{'n_neighbors': 14},-13859782368.694,-13159466631.807997,-13888946590.352617,-13509580303.504492,-13322678730.624905,-13355195683.87807,-13865025339.930246,-13239460799.353643,-13261042625.358541,-13763803067.630268,-13522498214.113476,277838774.3721364,14
0.1036451816558838,0.022284995843599414,0.23696637153625488,0.045616005137918726,15,{'n_neighbors': 15},-14455771046.675634,-13767099355.080961,-14477380199.559088,-14087315547.270844,-13899861587.367426,-13937397180.355345,-14490424666.516178,-13859232754.74953,-13883382212.99615,-14372349566.127766,-14123021411.669895,277968637.2671227,15
0.11519672870635986,0.06540107594439615,0.267396354675293,0.1303071064186874,16,{'n_neighbors': 16},-15012900465.414286,-14292215318.10281,-15059511497.654497,-14644045106.752203,-14486790198.663334,-14495022520.06197,-15027958365.072464,-14477193509.021532,-14492701248.571575,-14923168885.14385,-14691150711.445852,270784443.41256315,16
0.12305130958557128,0.059880574190725296,0.25373377799987795,0.08328652809480508,17,{'n_neighbors': 17},-15495219661.57113,-14810060713.442764,-15586720017.634167,-15146988776.198565,-15045983832.223679,-14988346031.986782,-15535436040.437416,-15018489516.45195,-15041603885.988165,-15402193986.158457,-15207104246.209305,259040279.97049606,17
0.1260995388031006,0.040698718729621795,0.30379061698913573,0.06993302074028758,18,{'n_neighbors': 18},-15949239231.704554,-15257712425.698545,-16058675360.301596,-15620972286.10108,-15556032693.778051,-15478238526.716768,-16014331667.388237,-15499755789.56669,-15537287830.372316,-15847815280.770878,-15682006109.239872,254268670.93880042,18
0.1834411382675171,0.08980211804603476,0.3547414541244507,0.09602532758967208,19,{'n_neighbors': 19},-16363116043.298447,-15700685596.697971,-16493034116.725334,-16056833291.074673,-16016729141.421328,-15903872432.404552,-16477185430.09511,-15950153805.209023,-15991297282.422222,-16265476135.643412,-16121838327.499207,250913037.289883,19
0.194443678855896,0.05914299987580045,0.42159860134124755,0.14515323839270794,20,{'n_neighbors': 20},-16730873708.647749,-16132968545.818928,-16883070073.770536,-16431121443.744942,-16466163164.46509,-16333930519.718782,-16911109967.279764,-16358863525.683119,-16418336150.87624,-16646388260.083935,-16531282536.008907,239889379.56592947,20
0.13293766975402832,0.016361584363547493,0.3421504020690918,0.06526429494226968,21,{'n_neighbors': 21},-17075795898.56872,-16524989367.04423,-17244862250.96325,-16796916661.56369,-16824344071.759857,-16729892682.931437,-17316064868.851925,-16774158940.440765,-16823111463.755205,-17019224960.59894,-16912936116.647802,233056343.5833529,21
0.1439232349395752,0.051908569777281484,0.32016444206237793,0.082513540680889,22,{'n_neighbors': 22},-17419535461.973125,-16895419339.410944,-17579810667.311207,-17148949422.77099,-17164227616.010227,-17119349749.294594,-17673089981.35969,-17147598721.80088,-17193610700.20787,-17342314409.020473,-17268390606.916,222641666.39371026,22
0.09980340003967285,0.015327275440196105,0.29870431423187255,0.06099828491626149,23,{'n_neighbors': 23},-17724337913.603374,-17219557428.362965,-17876462768.42012,-17487970835.39479,-17479176720.069508,-17479191570.83773,-18027872378.663193,-17510231904.663548,-17523890172.01989,-17628089099.678368,-17595678079.17135,218151232.27938944,23
0.1048250675201416,0.023808239445747274,0.28402323722839357,0.040902400292472975,24,{'n_neighbors': 24},-18022699080.284348,-17531178270.905457,-18158516135.200024,-17802421298.516098,-17766782294.945248,-17800346069.008785,-18354576345.30975,-17829706799.838448,-17826697302.36956,-17904090891.834892,-17899701448.821266,217275057.8071431,24
0.1120032787322998,0.005695875462978743,0.26969547271728517,0.009430648605043702,25,{'n_neighbors': 25},-18310032496.814453,-17814048963.28738,-18399831080.292877,-18090648824.024765,-18034340961.794285,-18101654220.52791,-18657322414.08567,-18115417021.203163,-18106812003.541935,-18124863489.17284,-18175497147.47453,217874728.58589154,25
0.1093630075454712,0.002826279064235584,0.27093508243560793,0.0075271708652845425,26,{'n_neighbors': 26},-18539073707.656902,-18080929901.92886,-18655844380.75483,-18361081506.765804,-18281506108.046047,-18405479475.774784,-18935064849.93234,-18339584158.000664,-18344776407.870556,-18352349221.183395,-18429568971.79142,221067979.48329484,26
0.10461540222167968,0.010435066486508467,0.25712783336639405,0.027042565878770315,27,{'n_neighbors': 27},-18759251369.5496,-18307343397.629593,-18863694548.674435,-18616551838.89427,-18529202693.224674,-18628421505.113506,-19172963532.729095,-18559885274.77772,-18578137347.25319,-18547302603.652477,-18656275411.149853,220934351.73564836,27
0.07508695125579834,0.003044928623258076,0.19985811710357665,0.004606831057766633,28,{'n_neighbors': 28},-18972915329.1578,-18531750161.46465,-19051565511.44675,-18845116471.03407,-18750913283.591595,-18856073545.50463,-19403968406.892647,-18761084757.811024,-18799276867.95819,-18744473480.578674,-18871713781.544003,221512849.04445148,28
0.0759540319442749,0.005164997180726635,0.2079289436340332,0.010742998349103451,29,{'n_neighbors': 29},-19186013843.141888,-18756426729.80946,-19255375106.384617,-19036220479.7885,-18960756697.478973,-19093539587.042416,-19644238389.182228,-18958720127.123123,-18999905624.69075,-18936187600.338806,-19082738418.498077,228715948.14267954,29
